PGN(
  (net): Sequential(
    (0): Linear(in_features=8, out_features=128, bias=True)
    (1): ReLU()
    (2): Linear(in_features=128, out_features=4, bias=True)
  )
)
109824: reward: -30.85, mean_100: -13.81, episodes: 394
110825: reward: -66.99, mean_100: -14.73, episodes: 395
111826: reward: -57.99, mean_100: -15.19, episodes: 396
112827: reward: -95.50, mean_100: -16.06, episodes: 397
113828: reward: -131.84, mean_100: -16.88, episodes: 398
114829: reward: -48.84, mean_100: -17.71, episodes: 399
115646: reward: -239.70, mean_100: -19.67, episodes: 400
116220: reward: -151.53, mean_100: -20.23, episodes: 401
116623: reward: -189.31, mean_100: -21.49, episodes: 402
117624: reward: -111.76, mean_100: -21.04, episodes: 403
118625: reward: -100.96, mean_100: -22.57, episodes: 404
119626: reward: -98.95, mean_100: -23.80, episodes: 405
120627: reward: -81.58, mean_100: -24.39, episodes: 406
121628: reward: -127.95, mean_100: -25.17, episodes: 407
122629: reward: -122.94, mean_100: -25.47, episodes: 408
123630: reward: -30.74, mean_100: -25.05, episodes: 409
124631: reward: -57.59, mean_100: -23.83, episodes: 410
125632: reward: -32.88, mean_100: -20.89, episodes: 411
126633: reward: -73.96, mean_100: -18.91, episodes: 412
127514: reward:  61.00, mean_100: -16.20, episodes: 413
127880: reward: -125.09, mean_100: -16.33, episodes: 414
128196: reward: -92.58, mean_100: -17.61, episodes: 415
128750: reward: -149.12, mean_100: -18.75, episodes: 416
129147: reward: -138.99, mean_100: -20.40, episodes: 417
129503: reward: -122.40, mean_100: -21.94, episodes: 418
129702: reward: -72.69, mean_100: -21.52, episodes: 419
130066: reward: -45.84, mean_100: -22.45, episodes: 420
130295: reward: -95.46, mean_100: -22.81, episodes: 421
130754: reward: -45.68, mean_100: -23.41, episodes: 422
131107: reward: -138.30, mean_100: -23.34, episodes: 423
131521: reward: -123.55, mean_100: -24.34, episodes: 424
132094: reward: -200.18, mean_100: -26.06, episodes: 425
133095: reward: -61.06, mean_100: -26.52, episodes: 426
134096: reward: -66.09, mean_100: -27.36, episodes: 427
134476: reward: -88.07, mean_100: -28.00, episodes: 428
135477: reward: -71.85, mean_100: -28.49, episodes: 429
135750: reward: -144.96, mean_100: -30.27, episodes: 430
136152: reward: -187.81, mean_100: -31.52, episodes: 431
137065: reward: -210.26, mean_100: -32.80, episodes: 432
138066: reward: -120.31, mean_100: -35.28, episodes: 433
138678: reward: -152.87, mean_100: -36.89, episodes: 434
139679: reward: -135.99, mean_100: -38.17, episodes: 435
140680: reward: -30.52, mean_100: -37.95, episodes: 436
141681: reward: -41.44, mean_100: -38.54, episodes: 437
142083: reward: -81.52, mean_100: -39.89, episodes: 438
143084: reward: -92.34, mean_100: -41.05, episodes: 439
143872: reward: -155.36, mean_100: -41.41, episodes: 440
144873: reward:  -9.70, mean_100: -43.45, episodes: 441
145794: reward: -232.31, mean_100: -44.94, episodes: 442
146425: reward: -158.39, mean_100: -45.32, episodes: 443
146609: reward: -124.63, mean_100: -45.63, episodes: 444
146862: reward: -165.98, mean_100: -47.65, episodes: 445
147455: reward: -174.31, mean_100: -49.79, episodes: 446
147799: reward: -127.04, mean_100: -48.98, episodes: 447
148488: reward: -187.01, mean_100: -49.84, episodes: 448
149489: reward: -106.74, mean_100: -52.86, episodes: 449
150028: reward: -109.06, mean_100: -56.02, episodes: 450
150503: reward: -177.14, mean_100: -56.97, episodes: 451
150766: reward: -98.87, mean_100: -60.37, episodes: 452
151075: reward: -117.17, mean_100: -62.82, episodes: 453
151588: reward: 155.51, mean_100: -62.89, episodes: 454
151808: reward: -62.27, mean_100: -62.04, episodes: 455
152809: reward:  -6.30, mean_100: -62.16, episodes: 456
153110: reward: -93.81, mean_100: -63.18, episodes: 457
153933: reward: -213.00, mean_100: -65.43, episodes: 458
154487: reward: -158.25, mean_100: -67.53, episodes: 459
154823: reward: -190.22, mean_100: -71.76, episodes: 460
155090: reward: -133.32, mean_100: -73.48, episodes: 461
155283: reward: -166.78, mean_100: -74.51, episodes: 462
155523: reward: -108.44, mean_100: -75.46, episodes: 463
155695: reward: -114.08, mean_100: -77.50, episodes: 464
156494: reward: -228.29, mean_100: -79.77, episodes: 465
156828: reward: -90.40, mean_100: -81.29, episodes: 466
157238: reward: -107.94, mean_100: -83.37, episodes: 467
157431: reward: -115.94, mean_100: -86.81, episodes: 468
157986: reward: -238.07, mean_100: -90.29, episodes: 469
158283: reward: -205.64, mean_100: -91.15, episodes: 470
158452: reward: -181.17, mean_100: -91.81, episodes: 471
158588: reward: -208.50, mean_100: -94.60, episodes: 472
159083: reward: -360.43, mean_100: -97.49, episodes: 473
159703: reward: -295.76, mean_100: -101.27, episodes: 474
159943: reward: -174.36, mean_100: -103.19, episodes: 475
160731: reward: -222.71, mean_100: -105.22, episodes: 476
161476: reward: -276.05, mean_100: -108.19, episodes: 477
161647: reward: -163.42, mean_100: -109.14, episodes: 478
161962: reward: -246.17, mean_100: -111.97, episodes: 479
